fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards
864094,2022-07-02 22:00:00+00:00,L. Santander,Necaxa,Toluca,1,3,14,1,15,3,3,6
864095,2022-07-02 02:05:00+00:00,D. Quintero,Mazatlán,Puebla,2,4,10,3,13,1,2,3
864096,2022-07-02 22:00:00+00:00,I. Lopez,Guadalajara Chivas,FC Juarez,0,0,9,3,12,3,1,4
864097,2022-07-03 00:05:00+00:00,Ó. Mejía,Tigres UANL,Cruz Azul,2,3,4,0,4,1,0,1
864098,2022-07-03 02:05:00+00:00,F. Guerrero,Club America,Atlas,0,0,4,4,8,1,1,2
864099,2022-07-03 17:00:00+00:00,A. Escobedo,U.N.A.M. - Pumas,Club Tijuana,1,1,9,1,10,5,2,7
864100,2022-07-03 22:00:00+00:00,F. Hernández,Atletico San Luis,Leon,1,2,7,2,9,0,1,1
864101,2022-07-04 00:05:00+00:00,J. Pérez,Santos Laguna,Monterrey,4,3,7,6,13,2,4,6
864102,2022-07-05 02:00:00+00:00,C. Ramos,CF Pachuca,Club Queretaro,2,0,3,0,3,0,4,4
864103,2022-07-09 00:00:00+00:00,A. Escobedo,Mazatlán,Tigres UANL,0,1,2,9,11,3,5,8
864104,2022-07-09 02:05:00+00:00,C. Ramos,Puebla,Santos Laguna,1,0,10,2,12,3,2,5
864105,2022-07-09 02:05:00+00:00,Ó. Macías,Club Tijuana,FC Juarez,0,2,4,6,10,4,0,4
864106,2022-07-10 00:05:00+00:00,Ó. Mejía,Guadalajara Chivas,Atletico San Luis,0,1,3,4,7,2,1,3
864107,2022-07-10 02:05:00+00:00,V. Cáceres,Cruz Azul,CF Pachuca,1,2,3,8,11,2,1,3
864108,2022-07-10 02:05:00+00:00,M. Ortíz,Monterrey,Club America,3,2,4,8,12,2,2,4
864109,2022-07-10 17:00:00+00:00,F. Hernández,Toluca,Atlas,3,2,4,8,12,3,4,7
864110,2022-07-10 22:00:00+00:00,F. Guerrero,Club Queretaro,Necaxa,1,2,3,3,6,1,1,2
864111,2022-07-10 00:00:00+00:00,J. Lopez,Leon,U.N.A.M. - Pumas,3,3,6,1,7,4,4,8
864112,2022-07-14 02:00:00+00:00,A. Escobedo,Club America,Toluca,1,0,7,3,10,1,3,4
864113,2022-07-16 00:00:00+00:00,E. Miranda,Puebla,Leon,1,1,7,7,14,6,5,11
864114,2022-07-16 02:05:00+00:00,E. Galván,FC Juarez,Club Queretaro,1,1,9,1,10,1,2,3
864115,2022-07-16 22:00:00+00:00,Ó. Macías,Atlas,Cruz Azul,3,2,4,0,4,1,6,7
864116,2022-07-17 00:05:00+00:00,M. Ortíz,Santos Laguna,Guadalajara Chivas,1,1,5,3,8,3,9,12
864117,2022-07-17 17:00:00+00:00,D. Quintero,U.N.A.M. - Pumas,Necaxa,1,0,6,2,8,1,3,4
864118,2022-07-17 22:00:00+00:00,F. Guerrero,Atletico San Luis,Monterrey,0,1,4,4,8,4,4,8
864119,2022-07-18 00:00:00+00:00,V. Cáceres,Tigres UANL,Club Tijuana,1,0,4,5,9,2,2,4
864120,2022-07-19 00:00:00+00:00,J. Camacho,CF Pachuca,Mazatlán,1,1,9,2,11,2,3,5
864121,2022-07-21 02:05:00+00:00,J. Pérez,Guadalajara Chivas,Leon,0,0,5,3,8,5,3,8
864122,2022-07-22 02:00:00+00:00,L. Santander,Club Queretaro,Monterrey,0,3,3,3,6,1,1,2
